PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
CCN(CC)C1=CC2=[N+](C3=C(C=CC(=C3)N)N=C2C=C1)C4=CC=CC=C4.[Cl-],1
CCOC1=C(C=C(C=C1)CCNC(=O)C2CC(=O)N(C2)C3=CC4=C(C=C3)OCCO4)OCC,0
CC1=CC(=C(N1C2=CC=C(C=C2)Br)C)/C=C(\C#N)/C(=O)O,0
CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)S(=O)(=O)N3CCCCCC3)OC,0
C1CCC(=CC1)CCNC(=O)C2C3CCC(C2C(=O)O)O3,0
CCOC(=O)N1CCN(CC1)C2=NC=NC3=C2NC4=C3C=C(C=C4)F,0
CC(=O)N\1C2=CC=CC=C2C(=O)/C1=C\C3=CC=C(C=C3)N(C)C,1
CC(C(=O)NCCC1=CCCCC1)OC(=O)C2=C(C=CC=C2F)F,0
C1=CC=C2C(=C1)C(=CN2)CC(=O)NC3=NC4=CC=CC=C4N3,0
CN(C)C1=CC=C(C=C1)/C=C/C2=[N+](C3=C(C=C2)C4=CC=CC=C4C=C3)C5=CC=CC=C5.[Cl-],1
C1CN(CCC1NC(=O)C2=CC=CC=C2)C(=O)NCC3=CC=CC=C3,0
C1=CC2=NC(=CN2C=C1)CNC(=O)C3=CC=CS3,0
CN1C2=C(C(=O)N(C1=O)C)N=CN2CC(=O)NC3=NC(=CS3)C4=CC=C(C=C4)Cl,0
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)OCC(=O)NC3=CC=CC=C3C(F)(F)F,1
COC1=C(C=C2C(=C1)C(=O)N(C(=O)N2CC(=O)C3=CC=C(C=C3)F)CCCC(=O)NCC4CCCO4)OC,0
CN(CC1=C(C(=CC=C1)OC)OC)CC(=O)NC2=CC(=CC=C2)S(=O)(=O)N(C)C3=CC=CC=C3,0
CC1CC2=CC=CC=C2N1CC3=CC(=CC=C3)[N+](=O)[O-],1
CC1=C2CC(NC(=C(C#N)C#N)C2=CC=C1)(C)C,0
C1C=CC2C1C(NC3=C2C=C(C=C3Cl)Cl)C(=O)O,1
CCCCCCCCS(=O)C1=C(C2=C(S1)N=C3CCCCC3=C2)N,0
COC1=C(C=C(C=C1)C(=O)NCC2=CC=C(C=C2)C3=NC4=CC=CC=C4S3)OC,0
CC1=NN(C=C1C=NCCOCC2=CC=CC=C2)C,0
CC1C(=O)N(C(=NO1)C2=CC=CC=C2F)CC3=CC=CC=C3OC,0
C1=CC=C(C=C1)C2=NN(C=C2NC(=O)C3=CC=CC=C3)C4=CC=CC=C4,0
CC(C)(C)NS(=O)(=O)C1=C(C=CC(=C1)C(=O)NC2=C(C=CS2)C#N)Cl,0
CC1=CC(=C(C=C1)N2CCN(CC2)C3=C(C=CC=N3)[N+](=O)[O-])C,1
CCOC1=CC2=C(C=C1)NC(C3=C2C(=S)SS3)(C)C,1
COC1=CC2=CC3=C(N=C2C=C1OC)SC(=C3N)C(=O)NCC4=CC=CO4,0
CCSC1=NN=C(O1)[C@H](C(C)C)NC(=O)OC(C)(C)C,0
CCOC1=C(C(=CC(=C1)C(=O)N2CCNC(=O)C2)Br)OC,0
CC1CN(CC(O1)C)CCOC2=C(C=C(C=C2)OC)CC=C.C(=O)(C(=O)O)O,1
CC1=CC=C(C=C1)S(=O)(=O)NCC(=O)OC(C2=CC=CC=C2)C(=O)C3=CC=CC=C3,1
CC1=C(SC(=O)N1CC2=CC=C(C=C2)S(=O)(=O)C)C(=O)NCC3=CC(=C(C=C3)Cl)Cl,0
C1CCCN(CC1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)COC(=O)C3=NC=CN=C3,0
COC(=O)C1=CC2=C(C=C3C=CC=CN3C2=C1C(=O)OC)C4=CC=CC=C4,1
C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3,0
CC1=CN=C(C=C1)NC(=O)CCNS(=O)(=O)C2=CC=C(C=C2)NC(=O)C,0
CC1=C(C(=NO1)C)C2=C3C=COC3=C(C=C2)C(=O)NCCC(F)(F)F,0
CC1=C(C=CC(=C1)C(=O)NN2C=C(C3=CC=CC=C3C2=O)C(=O)OC)[N+](=O)[O-],0
CC1=C(S(=O)(=O)C2=CC=CC=C12)C(=O)N,0
COC1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)OC,1
CC1=C(C=C(C=C1)S(=O)(=O)N2CCN(CC2)CC(=O)NC(=O)NCC3=CC=CC=C3)C,0
CSC1=NC2=C(C(=N1)N(CCO)CCO)SC3=C2C4=C(CCC4)C(=N3)C5=CC=CO5,1
CC1=CC(=O)N2C(=N1)C(=C(N2)C)C3=CC=CC=C3,0
CN(C)[C@H]1[C@@H]2[C@H]([C@H]3C(C(=O)C4=C(C3=C)C=CC=C4O)C(=O)[C@@]2(C(=O)C(C1=O)C(=O)N)O)O.Cl,1
CC1=C(C=C(C=C1)NCC2=CC(=C(C(=C2)OC)OC)OC)C,1
CN(C)C1=CC=C(C=C1)C(CCN2CCN(CC2)C3=CC=CC=C3)C4=C(C=C(C=C4OC)OC)O,1
COC1=C(C(=O)C(=CC1=O)SC2=CC3=CC=CC=C3C=C2)OC,1
CC(C)(C)C1=CC=C(C=C1)NC(=O)NC2=NC3=CC=CC=C3C=C2,0
C1CCC(CC1)OC(=O)NCC(=O)N2CCCC2C(=O)O,0
CC1=CC(=CC=C1)N2C(=O)C(N(C2=O)CCOC)CC(=O)NC3=CC(=CC(=C3)OC)OC,0
CSC1=NC2=C(S1)C=CC(=C2)S(=O)(=O)N3CCOCC3,0
CC1=NN(C(=O)C2=CC=CC=C2O1)S(=O)(=O)C3=C(C=C(C=C3)Cl)Cl,0
C1=CC(=CC(=C1)Br)NC(=O)NC2=CC=C(C=C2)F,0
CCN1C(=CSC1=NC(=O)C2=CC=CC=C2)C,0
C1COC2=C(O1)C=CC(=C2)N3CC(CC3=O)C(=O)NC4=NC(=C(S4)C5=CC=CO5)C6=CC=CO6,1
CC1CC(CN(C1)S(=O)(=O)C2=CN=C(C=C2)NN)C,0
C1CCC(CC1)N2CCN(CC2)C(C3=CC=CS3)C4=NN=NN4CC5=CC=C(C=C5)F,0
CN(CCC1=CC=CC=N1)C2=CC=CC=C2,0
C1=CC=C(C=C1)NC2=CC=C(C=C2)NC3=CC=CC=C3,1
CC1=CC(=CC=C1)S(=O)(=O)NC(=O)C2(CCN2C(=O)CC3=C(C=CC(=C3)F)F)C,1
CCN(C1CCS(=O)(=O)C1)C(=O)CSC2=NC3=CC=CC=C3C(=O)N2C(C)COC,0
C[C@H]1[C@H](N(C2=CC=CC=C2CN1CC3=CC=CC=C3)C4=CC=C(C=C4)OC)CC5=CN=CC=C5,1
CC(C)CN1C2=C(C=C3C=C(C=CC3=N2)OC)C(=N1)NC(=O)C4CCCO4,0
COC1=CC=CC=C1CN2CCNCC2.Cl,0
C1CN(CCN1CC2=CC3=C(C=C2O)OCO3)C4=CC=C(C=C4)F,1
CC1=CC=C(C=C1)S(=O)(=O)N2CCCCC2C(=O)N3CCN(CC3)CC4=CC=CC=C4.Cl,0
C/C(=N/NC(=O)CN1CCN(CC1)CC2=CC=CC=C2Cl)/C3=CN=CC=C3,0
COC1=C(C=C(C=C1)CCNC(=O)CC2=CC(=C(C=C2[N+](=O)[O-])OC)OCC3=CC=CC=C3)OC,0
CN1C2=CC=CC=C2C3=CC(=C(C=C31)N)N(C)C,1
CCCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)CSC3=NN=NN3C,0
CC1=CC2=C(C=C1)OC(=O)C(=C2C)C3=CC=C(C=C3)O,0
C=CCNC(=S)NNC(=O)C1=CC=C(O1)Br,0
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NCC(=O)OCC(=O)NCCC2=CC=CC=C2,0
COC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)NC(=O)COC(=O)C3CCCO3,0
CC1=CC=CC=C1N2C(=C(C=N2)C(C)NC(=O)CCCC(=O)OC)C,0
COC1=CC(=CC(=C1OC)OC)CC(=O)N2CCC3=CC=CC=C32,0
CNC1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O,1
C1CC(C1)C(=O)NCCC[C@H]2CN3[C@H](CN=C3N2CCC4=CC(=C(C=C4)Cl)Cl)CC5=CC=C(C=C5)O,0
CN1C=CN=C1SCC(=O)C2=CC3=CC=CC=C3C=C2,0
COC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)O)OC,0
CN(C)C1=CC=C(C=C1)CSC2=CC=CC=C2,1
CCOC1=C(C(=CC(=C1)CNC2=CC=C(C=C2)N3CCCCC3)Br)OCC(=O)NC(C)(C)C,1
C1CC2C(=O)N(C(=S)N2C1)CC3=CC=CC=C3,0
C\1CN2C(=NC3=CC=CC=C3C2=O)/C1=C\N4CCN(CC4)C5=CC=CC(=C5)C(F)(F)F.O.Cl,1
C/C(=C\C1=CC=CC=C1)/C=N/N2CCN(CC2)CC3=CC=CC=C3,1
CC1=CC=C(C=C1)S(=O)(=O)N(CC(CN2CCCC2)O)C3=CC=CC=C3,0
CNC(=O)CSC1=NC(=NS1)SC,0
CN(C)[C@H]1[C@@H]2[C@H](C3C(=C)C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.C1=CC(=C(C=C1S(=O)(=O)O)C(=O)O)O,1
C1CCN(CC1)S(=O)(=O)C2=CC=CC=C2OC3=C(C=C(C=C3)Cl)Cl,0
C1CCC(CC1)NC(=S)NNC2=CC3=CC=CC=C3C=C2,1
CCOC1=CC=C(C=C1)N(C)CC2=CC(=O)OC3=C2C=C(C=C3)OCC,1
C[N+]1=C(C=C2N1C3=CC=CC=C3C2=CC4=CC=C(C=C4)N(C)C)C5=CC=CC=C5.C(F)(F)(F)S(=O)(=O)[O-],1
COC1=CC=CC=C1N(CC(=O)NCC2=CN=CC=C2)S(=O)(=O)C,0
CC(=O)O.C1=CC(=CC(=C1)[N+](=O)[O-])CN2C=CC3=C2C=CC4=C3C(=NC(=N4)N)N,1
COC1=CC=CC=C1NC(=O)CCC(=O)OCC2=CC=C(C=C2)[N+](=O)[O-],0
C1=CC=C2C=CC(=C2C=C1)N=NC3=CC=CC=C3,1
CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)[O-])NC(=O)CC3=CC=CS3.[Na+],0
CCN1CCCC2=C1C=CC(=C2)CN(CCN3CCOCC3)C(=S)NC4=CC=CC(=C4)C,1
COC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)O2,0
CC1=CC(=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)N)Cl)C,0
CCCOC1=CC=CC(=C1)C2=NN=C(S2)NC(=O)C3=CC=CO3,0
COC1=CC(=NC(=N1)OC2=CC=CC=C2C(=O)OC3=CC=C(C=C3)Cl)OC,0
COC1=CC=C(C=C1)NC(=O)C2CC(=O)N/C(=N/N=C/C3=CC=CO3)/S2,0
CC1CN(CC(O1)C)CCOCCOC2=CC=CC=C2C3=CC=CC=C3.C(=O)(C(=O)O)O,1
COC1=CC(=C(C=C1)OC)C(=O)N2CCC(CC2)C(=O)C3=CC=C(C=C3)F,0
C1CC2=CC=CC=C2/C(=N/O)/C1,0
CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=C(C=C3)N(CC)CC.[Cl-],1
C1CCC(=CC1)CCNC(=O)C2=CC=C(C=C2)F,0
CC1=CC(=C(C=C1)C)OCC(=O)N2CCN(CC2)C3=NC=CC=N3,0
C1CCC(CC1)C2=CN=C(C=C2)C(=O)O,1
C1COCCN1S(=O)(=O)C2=C(C=CC(=C2)C(=O)OCC(=O)NC3=CC=C(C=C3)C(=O)N)Br,0
CCOC(=O)C1=NN(C(=C1C(=O)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4F,0
CCN1C(=NN=C1SCC(=O)NC2=C(C=CC(=C2)OC)OC)C3CCCCC3,0
C1N(CCOC1)CCC(=O)N2C/C(=C\C3=CC=CC=C3)/C(=O)/C(=C/C4=CC=CC=C4)/C2.Cl,0
C1=CC=C(C=C1)/C(=N/OC(=O)C2=CC=C(C=C2)F)/C3=CC=NC=C3,0
COC1=C(C(=C(C=C1[N+](=O)[O-])Br)OC)C(=O)NC(=O)NC2=C(C=CC=C2Cl)Cl,0
CS(=O)(=O)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=CC=CC=C3,0
CC1=CC(=CC(=C1)N(CCC#N)C(=O)CSC2=NN3C(=CC(=NC3=N2)C)C)C,0
CCCCN(C1CCS(=O)(=O)C1)C(=O)CSC2=NN=NN2C,0
